Name,Height,Weight,Country,Gender
"Cooke, Nicole",167,58,Team GB,W
"Copeland, Katherine",171,57,Team GB,W
"Cork, Jack",185,69,Team GB,M
"Cortes, Francisco",181,80,Spain,M
"Cosby, Jessica",173,79,Team USA,W
"Cotton, Amy",180,78,Canada,W
"Cotuna, Vlad Bogdan",163,60,Romania,M
"Couch, Tonia",163,58,Team GB,W
"Coudray, Tiana",163,57,Team USA,W
"Cousins, Charles",198,100,Team GB,M
"Cox, Shana",172,65,Team GB,W
"Cox, Sophie",160,52,Team GB,W
"Cremer, Esther",170,55,Germany,W
"Crognale, Sabrina",170,58,Italy,W
"Crow, Kim",188,74,Australian Olympic Team,W
"Cruz, Clarisse",170,53,Portugal,W
"Csoknyai, Laszlo",172,81,Hungary,M
"Cullen, Crista",182,75,Team GB,W
"D Aniello, Francesco",170,82,Italy,M
"Da Silva, da SILVA Fabio",178,70,Brazil,M
"Dahlstrom, Malin",171,58,Sweden,W
"Dai, Xiaoxiang",178,70,China,M
"Daille, Etienne",177,65,France,M
"Dalakliev, Detelin",170,56,Bulgaria,M
"Dalby, Camilla",182,73,Denmark,W
"Daley, Tom",177,74,Team GB,M
"Daly, Matthew",188,82,Team GB,M
"Damons, Sulette",163,57,South Africa,W
"Dampney, Zara",178,65,Team GB,W
"Danson, Alex",171,56,Team GB,W
"Darnel, Neslihan",187,72,Turkey,W
"Dasaolu, James",186,87,Team GB,M
"Davenport, Ross",187,76,Team GB,M
"Davies, David",190,84,Team GB,M
"Davies, Georgia",175,60,Team GB,W
"Davis, James",193,100,Team GB,M
"Davison, Richard",177,76,Team GB,M
"Dawidowicz, Aleksandra",167,57,Poland,W
"Dawkins, Katie",175,67,Team GB,W
"Dawson, Craig",188,78,Team GB,M
"De Colo, de COLO Nando",195,89,France,M
"De Nicolo, de NICOLO Marco",180,85,Italy,M
"De Vecchi, de VECCHI Manuel",182,91,Italy,M
"De Vos, de VOS Charlotte",166,59,Belgium,W
"Deakes, Nathan",185,66,Australian Olympic Team,M
"Deeva, Daria",181,69,Russian Federation,W
"Degenkolb, John",180,79,Germany,M
"Degtyarev, Egor",202,96,Russian Federation,M
"Dekeyser, Jerome",183,81,Belgium,M
"Dempsey, Nick",180,70,Team GB,M
"Demus, Lashinda",170,60,Team USA,W
"Deng, Luol",203,104,Team GB,M
"Dennison, Kate",171,60,Team GB,W
"Densham, Erin",164,52,Australian Olympic Team,W
"Diamond, Emily",173,58,Team GB,W
"Diarra, Elea Mariama",175,60,France,W
"Diaz Jr, Joseph",168,56,Team USA,M
"Dickins, Arnie",170,60,Australian Olympic Team,M
"Dieke, Ifeoma",165,63,Team GB,W
"Dimitrov, Grigor",190,81,Bulgaria,M
"Dinart, Didier",197,104,France,M
"Diosdado Garcia, Nuria",169,53,Mexico,W
"DISNEY-MAY, James",192,78,Team GB,M
"Dita, Constantina",160,48,Romania,W
"Djerisilo, Ivana",185,72,Serbia,W
"Djokovic, Novak",188,82,Serbia,M
"Dmytrenko, Ruslan",180,67,Ukraine,M
"Dobriskey, Lisa",171,56,Team GB,W
"Doby, Mathieu",173,68,Belgium,M
"Dodig, Ivan",183,83,Croatia,M
"Doi, Manami",166,56,Japan,W
"Dolassem, Dieudonne",181,88,Cameroon,M
"Donckers, Karin",168,57,Belgium,W
"Drabenia, Hanna",153,46,Belarus,W
"Draeger, Marie-Louise",170,59,Germany,W
"Dragusin, Mihai",188,85,Romania,M
"Drakou, Theodora",169,67,Greece,W
"Draper, Warwick",186,79,Australian Olympic Team,M
"Drexel, Ingrid",173,62,Mexico,W
"Drinkhall, Paul",178,80,Team GB,M
"Driscoll, Kat",168,56,Team GB,W
"Duboscq, Hugues",191,87,France,M
"Dudas, Mihail",184,84,Serbia,M
"Duenas, Crispin",170,81,Canada,M
"Dujardin, Charlotte",170,61,Team GB,W
"Dunford, Jason",182,74,Kenya,M
"DUNKLEY-SMITH, Joshua",194,98,Australian Olympic Team,M
"Dunn, Debbie",170,63,Team USA,W
"Dvorak, Filip",190,89,Czech Republic,M
"Eastham, Casey",170,62,Australian Olympic Team,W
"Eaton, Ashton",185,82,Team USA,M
"Ebinuma, Masashi",170,66,Japan,M
"Echegoyen Dominguez, Tamara",174,72,Spain,W
"Eddie, Jess",178,75,Team GB,W
"Edelman, Nufar",168,69,Israel,W
"Edgar, Sebastien",182,76,Team GB,M
"Edmonds, Abigail",172,70,Team GB,W
"Edwards, Kelly",153,48,Team GB,W
"Edwards, Kenneth",188,84,Jamaica,M
"Efremov, Ivan",183,105,Uzbekistan,M
"Egelstaff, Susan",168,62,Team GB,W
"Egington, Richard",200,105,Team GB,M
"Ekimov, Leonid",180,83,Russian Federation,M
"El Sayed, Ihab Abdelrahman",194,96,Egypt,M
"Ellington, James",179,81,Team GB,M
"Elmont, Guillaume",175,81,Netherlands,M
"Eltrabily, Abdelrahman",190,120,Egypt,M
"Emane, Gevrise",160,63,France,W
"Emmolo, Giulia Enrica",171,66,Italy,W
"Engels, Floortje",172,70,Netherlands,W
"England, Hannah",177,54,Team GB,W
"Englmaier, Tobias",158,60,Germany,M
"Ennis, Jessica",165,57,Team GB,W
"Ente, Birgit",159,48,Netherlands,W
"Ericson, Lisa",165,58,Sweden,W
"Eskilsson, Christofer",173,62,Sweden,M
"Espeso, Maria Elena",161,48,Spain,W
"Espinoza Mena, Jose",173,75,Venezuela,M
"Espinoza, Maria del Rosario",173,70,Mexico,W
"Evans, Blair",175,65,Australian Olympic Team,W
"Evans, Fred",180,69,Team GB,M
"Evans, Gareth",169,68,Team GB,M
Fabiana,161,56,Brazil,W
"Fagbenle, Temi",193,79,Team GB,W
"Fagundez, Gabriella",170,60,Sweden,W
"Fair, James",185,79,Team GB,M
"Fairbrother, Kelsi",160,68,Team GB,W
"Falla Buchely, Emilio Andres",172,60,Ecuador,M
"Fang, Chieh Min",175,72,Chinese Taipei,M
"Fang, Yanqiao",173,69,China,W
"Farah, Mo",165,58,Team GB,M
"Faraldo, Francesco",168,66,Italy,M
"Farnik, Thomas",183,83,Austria,M
"Farquhar, Stuart",187,98,New Zealand,M
"Fasungova, Monika",163,55,Slovakia,W
"Fathi, Ahmed",174,76,Egypt,M
"Faulds, Richard",180,83,Team GB,M
"Faulkner, Ellie",165,55,Team GB,W
"Faulkner, Jade",162,50,Team GB,W
"Feck, Stephan",183,79,Germany,M
"Federici, Olivia",168,54,Team GB,W
"Fedorova, Olena",164,57,Ukraine,W
"Fernandez, Juan",174,73,Spain,M
"Feudjio, Raissa",163,60,Cameroon,W
"Figes, Craig",183,90,Team GB,M
"Fildebrandt, Christoph",193,78,Germany,M
"Fleming, Colin",188,78,Team GB,M
"Flognman, Kristina",178,65,Sweden,W
"Flood, Deborah",177,75,Team GB,W
"Florence, David",188,77,Team GB,M
"Flynn, Gemma",168,60,New Zealand,W
"Foad, James",185,90,Team GB,M
"Fogg, Daniel",179,74,Team GB,M
"FOKINA-SEMENOVA, Natalya",178,90,Ukraine,W
"Folkard, Naomi",169,67,Team GB,W
"Fontana, Marco Aurelio",172,68,Italy,M
"Fontes, Bruno",175,83,Brazil,M
"Foster, Tiffany",165,50,Canada,W
"FOX - PITT, William",198,76,Team GB,M
"Fox, Daniel",183,79,Team GB,M
"Fox, Francesca",167,58,Team GB,W
"Fredericks, Lucinda",180,62,Australian Olympic Team,W
"Freeland, Joel",211,111,Team GB,M
"Freitas, Patricia",172,58,Brazil,W
"Freixa, Santiago",181,85,Spain,M
"French, Nathan",191,86,Team GB,M
"Froome, Christopher",185,71,Team GB,M
"Fu, Haifeng",181,77,China,M
"Fudge, Kathryn",183,70,Team GB,W
"Fujimura, Tsutomu",174,66,Japan,M
"Fukumoto, Atsumi",169,57,Japan,W
"Fularczyk, Magdalena",173,72,Poland,W
"Fuzaro, Filipe",176,75,Brazil,M
"Fyrstenberg, Mariusz",190,79,Poland,M
"Gadisov, Abdusalam",178,84,Russian Federation,M
"Gafurzianova, Kamilla",174,64,Russian Federation,W
"Gallantree, Rebecca",166,60,Team GB,W
"Gallardo, Karen",175,95,Chile,W
"Gandy, Ellen",169,62,Team GB,W
"Gao, Song",190,81,China,W
"Garcia, Fernando Gabriel",190,85,Argentina,M
"GARCIA-THOMPSON, John",192,92,Team GB,M
"Garnham, Robin",194,94,Team GB,M
"Gavnholt, Kristina",177,69,Czech Republic,W
"Gayle, Robyn",168,65,Canada,W
"Gebremedhin, Yanet Seyoum",164,56,Ethiopia,W
"Geikie, Georgina",171,56,Team GB,W
"Gerbron, Marie",166,64,Team GB,W
"Gerrand, Tess",184,83,Australian Olympic Team,W
"Ghayaza, Mokhtar",205,106,Tunisia,M
"Gherman, Simona",170,55,Romania,W
"Gibbons, Craig",178,84,Team GB,M
"Gibbons, Gemma",173,70,Team GB,W
"Gibson Byrne, Ciara",167,59,Team GB,W
"Gibson, Lisa",177,75,Team GB,W
"Giggs, Ryan",180,75,Team GB,M
"Giglmayr, Andreas",177,62,Austria,M
"Gille, Bertrand",187,98,France,M
"Giraldo, Santiago",188,75,Colombia,M
"Gladding, Monique",162,57,Team GB,W
"Glavan, Igor",172,62,Ukraine,M
"Gleadle, Elizabeth",185,84,Canada,W
"Glover, Helen",178,70,Team GB,W
"Gnabouyou, Marie-Paule",185,79,France,W
"Goddard, James",183,82,Team GB,M
"Godfrey, Larry",178,84,Team GB,M
"Gohdes, Matthew",180,80,Australian Olympic Team,M
"Gojun, Jakov",204,110,Croatia,M
"Gomon, Yevgeniya",172,48,Ukraine,W
"Gong, Lei",185,88,China,M
"Gong, Lijiao",175,108,China,W
"Goodison, Paul",180,82,Team GB,M
"Goodwin, Britt",163,68,Team GB,W
"Goodwin, Marquise",178,82,Team USA,M
"Gordon, Winston",187,90,Team GB,M
"Gough, Westley",185,75,New Zealand,M
"Gougnard, Simon",187,82,Belgium,M
"Govers, Kieran",179,76,Australian Olympic Team,M
"Grabarz, Robert",191,80,Team GB,M
"Grainger, Katherine",183,80,Team GB,W
"Grandjean, Yoris",186,82,Belgium,M
"Grechin, Andrey",198,94,Russian Federation,M
"Green, Anna",167,62,New Zealand,W
"Green, Jack",194,80,Team GB,M
"Greene, Dai",185,78,Team GB,M
"Gregory, Alex",198,98,Team GB,M
"Greves, Katie",179,69,Team GB,W
"Grigorjeva, Anastasija",169,62,Latvia,W
"Groteluschen, Simon",194,84,Germany,M
"Grotowski, Steve",198,92,Team GB,M
"Grozer, Gyorgy",200,104,Germany,M
"Grubisic, Jelena",184,78,Croatia,W
"Guaman, Yadira",158,52,Ecuador,W
"Guenot, Christophe",178,74,France,M
"Guenot, Steeve",172,66,France,M
"Gueye, Idrissa",174,66,Senegal,M
"Guialo, Isabel",168,65,Angola,W
"Gulyas, Peter",200,102,Hungary,M
"Guyot, Sarah",176,68,France,W
"Gyurta, Gergely",174,68,Hungary,M
"Ha, Jeemin",187,80,South Korea,M
"Hacker, Marcel",196,97,Germany,M
"Hajeckova, Lenka",171,65,Czech Republic,W
"Haldane, Jason",203,106,Team GB,M
"Hall, Lucy",178,60,Team GB,W
"Hallisey, Claire",164,48,Team GB,W
"Halsall, Fran",172,59,Team GB,W
"Hammond, Jonathan",186,75,Team GB,M
"Hammouche, Salima",165,45,Algeria,W
"Handy, Chantelle",191,74,Team GB,W
"Hannah, Angela",174,70,Team GB,W
"Hansen, Mikkel",196,98,Denmark,M
"Hare, Martin",193,93,Team GB,M
"Hargreaves, Sarah",185,84,Team GB,W
"Harper, Marvin",173,71,South Africa,M
"Harradine, Benn",198,115,Australian Olympic Team,M
"Hassett, Betsy",157,55,New Zealand,W
"Hassounah, Samar",164,48,Egypt,W
"Hatakeyama, Airi",170,49,Japan,W
"Hatamkhanova, Oksana",161,51,Azerbaijan,W
"Hauffe, Gregor",190,93,Germany,M
"Hausler, Claudia",168,52,Germany,W
"Hawes, Ben",176,76,Team GB,M
"Hawkins, Mark",182,71,Team GB,M
"Hayakawa, Ren",179,65,Japan,W
"Hayes, Stuart",188,72,Team GB,M
"Haywood, Kate",178,68,Team GB,W
"Hazel, Louise",167,58,Team GB,W
"He, Chong",169,69,China,M
"He, Zhiwen",173,72,Spain,M
"Head, Maaike",172,60,Netherlands,W
"Heath, Liam",183,87,Team GB,M
"Hegerty, Francis",188,95,Australian Olympic Team,M
"Heglund, Nina",170,68,Team GB,W
"Hejnova, Zuzana",173,62,Czech Republic,W
"Helleberg, Jessica",174,65,Sweden,W
"Henderson, Greg",180,74,New Zealand,M
"Hennequin, Benjamin Didier",172,85,France,M
"Henriques, Nelson",168,67,Angola,M
"Hernandez Colina, Igor",189,87,Venezuela,M
"Herrera Allepuz, Pablo",193,85,Spain,M
"Hester, Carl",183,81,Team GB,M
"Heymans, Emilie",170,62,Canada,W
"Higl, Nada",173,67,Serbia,W
"Hill, Phelan",171,55,Team GB,M
"Hindes, Philip",177,83,Team GB,M
"Hitchon, Sophie",170,74,Team GB,W
"Hladikova, Aneta",171,62,Czech Republic,W
"Hochschorner, Peter",188,87,Slovakia,M
"Hogerwerf, Elisabeth",182,72,Netherlands,W
"Holland, Matt",194,96,Team GB,M
