Name,Height,Weight,Country,Gender
"Suligoy, Alex Misael",180,90,Argentina,M
"Sullivan, Drew",202,98,Team GB,M
"Sum, Eunice Jepkoech",159,53,Kenya,W
"Sun, Jie",182,69,China,M
"Sun, Yujun",168,65,China,W
"Sung, Ji Hyun",175,56,South Korea,W
"Susi, Dunia",169,61,Team GB,W
"Svarc, Premysl",177,66,Czech Republic,M
"Svennerstal, Ludvig",186,69,Sweden,M
"Szczepanski, Piotr",180,76,Poland,M
"Sziranyi Somogyi, Balazs",196,108,Spain,M
"Tadd, Stacey",181,74,Team GB,W
"Takano, Aya",164,54,Japan,W
"Talbot, Daniel",184,69,Team GB,M
"Tallent, Claire",163,50,Australian Olympic Team,W
"Tan, Lianne",160,57,Belgium,W
"Tancock, Liam",183,85,Team GB,M
"Tanrikulu, Bahri",183,85,Turkey,M
"Tansai, Napalai",174,61,Thailand,W
"Taouerghi, Anouer",178,77,Tunisia,M
"Taurasi, Diana",183,70,Team USA,W
"Tavares, Maria Leonor",165,55,Portugal,W
"Taylor, Jennifer",178,71,Team GB,W
"Taylor, Josh",176,60,Team GB,M
"Taylor, Neil",175,65,Team GB,M
"Tchorz, Alicja",177,67,Poland,W
"Tennant, Andrew",192,79,Team GB,M
"Tenorio Silva, Rosa",163,69,Ecuador,W
"Teramoto, Asuka",136,30,Japan,W
"Terry, Simon",180,100,Team GB,M
"Thibus, Ysaora",174,56,France,W
"Thiele, Annekatrin",173,68,Germany,W
"Thomas, Geraint",183,71,Team GB,M
"Thomas, Kristian",180,79,Team GB,M
"Thomas, Sarah",163,59,Team GB,W
"Thompson, Christopher",178,67,Team GB,M
"Thornley, Victoria",193,76,Team GB,W
"Timmers, Pieter",200,89,Belgium,M
"Tindall, James",175,84,Team GB,M
"Tirode, Stephanie",165,80,France,W
"Tobin, Robert",187,79,Team GB,M
"Tomas Gonzalez, Victor",177,83,Spain,M
"Tomkins, James",192,74,Team GB,M
"Tomlinson, Chris",197,84,Team GB,M
"Toumarkin, Yakov",192,87,Israel,M
"Townsend, Sam",199,100,Team GB,M
"Trana, Gabriela",164,50,Costa Rica,W
"Tranter, Daniel",193,80,Australian Olympic Team,M
"Trentin, Matteo",179,74,Italy,M
"Triggs Hodge, Andrew",192,100,Team GB,M
"Troiano, Sophie",174,64,Team GB,W
"Trott, Laura",163,52,Team GB,W
"Tsakonas, Likourgos-Stefanos",185,72,Greece,M
"Tschomakova, Margarita",168,55,Bulgaria,W
"Tsurumi, Koko",141,34,Japan,W
"Tu, Kai-Wen",169,66,Chinese Taipei,M
"Tunney, Rebecca",149,35,Team GB,W
"Turiaf, Ronny",207,109,France,M
"Turner, Andy",183,78,Team GB,M
"Turner, Grant",193,86,Team GB,M
"Turner, Rebecca",153,68,Team GB,W
"Tvrdy, Maja",170,59,Slovenia,W
"Tweddle, Beth",160,53,Team GB,W
"Twigg, Georgie",170,65,Team GB,W
"Twomey, Billy",172,75,Ireland,M
"Tyler, Jillian",152,65,Canada,W
"Tyminska, Karolina",175,69,Poland,W
"Tziallas, Georgios",190,90,Greece,M
"Udachyn, Artem",186,160,Ukraine,M
"Udovicic, Vanja",193,94,Serbia,M
"Ueno, Yoshie",164,63,Japan,W
"Ueyama, Yasuhiro",162,59,Japan,M
"Ukumanov, Rustam",192,86,Kazakhstan,M
"Unger, Tobias",180,74,Germany,M
"Unsworth, Laura",157,54,Team GB,W
"Uptagrafft, Sandra",155,53,Team USA,W
"Urantungalag, Bishindee",175,74,Mongolia,W
"Urishev, Anzor",177,84,Russian Federation,M
"Uru, Jade",189,88,New Zealand,M
"Usami, Takashi",178,68,Japan,M
"Ushakov, Dmitry",176,64,Russian Federation,M
"Valdes, Maria Fernanda",162,75,Chile,W
"Valoyes Cuesta, Ubaldina",158,69,Colombia,W
"Van Der Horst, van der HORST Robert",181,77,Netherlands,M
"Van Der Weel, van der WEEL Zoe",161,61,Team GB,W
"Van Grunsven, Anky",170,56,Netherlands,W
"Van Houts, van HOUTS Rudi",177,64,Netherlands,M
"Van Hove, van HOVE Benjamin",187,85,Belgium,M
"Van Koeverden, van KOEVERDEN Adam",182,85,Canada,M
"Van Regemortel, van REGEMORTEL Anne-Sophie",173,63,Belgium,W
"Vanderwal, Rachael",175,66,Team GB,W
"Varnish, Jess",167,69,Team GB,W
"Vasco, Maria",157,47,Spain,W
"Vecchi, Irene",170,64,Italy,W
"Velikov, Radoslav Marinov",162,55,Bulgaria,M
"Verdasco, Fernando",188,81,Spain,M
"Vernon, Annie",178,75,Team GB,W
"Vesnina, Elena",180,65,Russian Federation,W
"Viljoen, Sunette",170,70,South Africa,W
"Villar, Paulo",183,73,Colombia,M
"Vincent, Gawain",186,83,Team GB,M
"Vincent, Jake",197,98,Team GB,M
"Vinsant, Savannah",160,54,Team USA,W
"Viteckova, Eva",190,80,Czech Republic,W
"Vitus, Maksim",178,68,Belarus,M
"Vodickova, Radka",171,55,Czech Republic,W
"Vogel, Kristina",160,62,Germany,W
"Volnova, Marina",170,75,Kazakhstan,W
"Von Geijer, von GEIJER Jonas",178,70,Sweden,M
"Vonarburg, Andre",195,100,Switzerland,M
"Voronova, Anzela",170,72,Estonia,W
"Vos, Marianne",169,52,Netherlands,W
"Vreeland, Shannon",188,79,Team USA,W
"Vukovic, Drago",194,93,Croatia,M
"WADE-FRAY, Jenaya",175,65,Team GB,W
"Walker, Jessica",177,72,Team GB,W
"WALKER-HEBBORN, Chris",184,80,Team GB,M
"Waller, Jack",187,95,Team GB,M
"Walsh, Kate",171,65,Team GB,W
"Walton, Sally",180,68,Team GB,W
"Wang, Hao",156,50,China,W
"Wang, Mengyu",170,70,China,W
"Wang, Ming-Hui",187,88,Chinese Taipei,M
"Warburton, Gareth",186,72,Team GB,M
"Warfe, Glenn",181,72,Australian Olympic Team,M
"Warlow, Rory",175,75,Team GB,M
"Waterfield, Pete",165,64,Team GB,M
"Watkins, Anna",183,78,Team GB,W
"Watson, Heather",168,64,Team GB,W
"Watt, Mitchell",184,83,Australian Olympic Team,M
"Weale, Sam",187,83,Team GB,M
"Webb, David",178,62,Team GB,M
"Weightman, Laura",172,56,Team GB,W
"Wells, Ashlee",181,71,Australian Olympic Team,W
"Wells, Matthew",188,90,Team GB,M
"Wende, Phillipp",199,89,Germany,M
"Westbrook, Russell",191,85,Team USA,M
"Whelan, Hannah",160,53,Team GB,W
"White, Ellen",170,58,Team GB,W
"White, Nicola",170,62,Team GB,W
"Whitlam, Olivia",185,73,Team GB,W
"Whitlock, Max",167,57,Team GB,M
"Wicks, Lucy",173,62,Team GB,W
"Wiersum, Peter",173,55,Netherlands,M
"Wiggins, Bradley",190,69,Team GB,M
"Wilcox, Chloe",172,62,Team GB,W
"Wilkinson, Michael",188,86,Canada,M
"Willhelm, Chloe",168,53,France,W
"Williams, Ciaran",183,81,Team GB,M
"Williams, Conrad",182,75,Team GB,M
"Williams, Daniel",177,73,Team GB,M
"Williams, Fara",164,61,Team GB,W
"Williams, James",188,75,Team USA,M
"Williams, Rachel",169,68,Team GB,W
"Williams, Rhys",185,73,Team GB,M
"Williams, Rob",185,75,Team GB,M
"Williams, Shericka",167,54,Jamaica,W
"Williams, Sophie",162,60,Team GB,W
"Williams, Venus",185,75,Team USA,W
"Williamson, Alison",175,75,Team GB,W
"Williamson, Simeon",186,95,Team GB,M
"Willis, Andrew",188,85,Team GB,M
"Willmott, Aimee",172,56,Team GB,W
"Wills, Alan",179,84,Team GB,M
"Wilson, Alastair",187,84,Team GB,M
"Wilson, Melanie",182,75,Team GB,W
"Wilson, Nicola",177,64,Team GB,W
"Wilson, Peter",198,90,Team GB,M
"WINSTANLEY - SMITH, Angie",179,66,Team GB,W
"Winther, Kasper",182,73,Denmark,M
"Wiss, Alain",180,73,Switzerland,M
"Wojcik, Katarzyna",165,57,Poland,W
"Wojtkowiak, Malgorzata",169,65,Poland,W
"Wong, Helena",158,53,Singapore,W
"Woodbridge, Nick",188,78,Team GB,M
"Xian, Yifang",170,62,France,W
"Xu, Lijia",176,60,China,W
"Xue, Chen",190,79,China,W
"Yakovlev, Vladislav",184,82,Kazakhstan,M
"Yamamoto, Kohei",182,69,Japan,M
"Yamamoto, Seito",178,66,Japan,M
"Yamauchi, Mara",162,51,Team GB,W
"Yang, Zi",178,65,Singapore,M
"Yankey, Rachel",164,56,Team GB,W
"Yano, Kyoko",165,60,Japan,W
"Yaroshchuk, Hanna",176,57,Ukraine,W
"Yazawa, Kazuki",167,65,Japan,M
"Yim, Junghyun",182,66,South Korea,M
"Young, Alison",181,67,Team GB,W
"Yu, Peng Kean",176,65,Malaysia,M
"Yurkovich, Rachel",180,70,Team USA,W
"Yushchanka, Yulyana",174,63,Belarus,W
"Yushkov, Ivan",192,130,Russian Federation,M
"Zabelinskaya, Olga",175,61,Russian Federation,W
"Zaiser, Lisa",174,63,Austria,W
"Zaitsev, Kostiantyn",193,91,Ukraine,M
"Zeller, Philipp",184,81,Germany,M
"Zetlin, Julie",168,54,Team USA,W
"Zevina, Daryna",182,64,Ukraine,W
"Zhakypov, Birzhan",167,49,Kazakhstan,M
"Zhang, Guowei",200,77,China,M
"Zhang, Jun",186,120,China,M
"Zhang, Zhaoxu",219,110,China,M
"Zhao, Yudiao",174,70,China,W
"Zhexembinova, Aigerim",164,47,Kazakhstan,W
"Zhou, Chunxiu",162,48,China,W
"Zhou, Peng",183,88,China,M
"Zlokovic, Boris",197,100,Montenegro,M
"Zolnir, Urska",173,63,Slovenia,W
"Zoric, Milenko",179,73,Serbia,M
"Zugaj, Nenad",177,84,Croatia,M
